书名,可替换书名,朝代,注,注2,作者
澹轩集,李吕澹轩集,宋,,,李吕
澹园诗删,,,,,王纬
澹足轩诗集,,清,,,梁履绳
澹泊斋稿,,明,释,,万金
澹珍先生遗集,,,,,施玠
霏雪录,,明,,,镏绩
璜溪遗诗,,清,,增,孙熊庆
激提集,,,,,洪简
璚华集,,清,,,俞廷瑛
磨镜卮言,,清,,,金世俊
默堂集,,宋,,,陈渊
穆堂别稿,,清,,,李绂
穆堂初稿,,清,,,李绂
凝香室诗钞,,,,,柴静仪
凝道堂诗集,,,,,江衡
蒲宝集,,元,释,增,笑隐
蒲室集,,元,释,,大訢
蒲庵文集,,,,,
樵书,,,,,来集之
樵云独唱诗集,,元,,,叶颙
蓉湖草堂存稿,,,,,陈滋
蓉塘诗话,,,,,
歙西大里汪武林支谱,,,,增,
燕石集,,元,,,宋褧
燕居续语,,,,,徐承烈
燕翼贻谋录,,宋,,,王栐
舆地广记,,宋,,增,欧阳忞
舆地纪胜,,宋,,,王象之
舆地纪胜碑目,,宋,,减,王象之
遵生八笺,,明,,,高濂
闇然室文稿,,清,,,应澧
闇然室诗存,,清,,,应澧
瞥记,,清,,,梁玉绳
蔡忠惠公文集,,宋,,,蔡襄
蔡寅倩集选,,清,,,蔡宗秩
蔡集举正跋,,清,,增,朱桂模
螺峰草堂集,,清,,,陈沺
蓬宅编,,清,,,张遂辰
蓬窗剪烛集,,清,,,李堂
邃雅堂集,,,,,姚文田
檀园集,,明,,,李流芳
檀渊集,,,,增,
霞外诗集,,,,,马臻
霞举堂集,,清,,,王晫
霞香书屋遗集序,,,,减,
霞蔚堂集,,清,,,孙骥
蔗余偶笔,,,,,方士淦
檇李诗系,,清,,,沈季友
戴简恪公遗集,,清,,,戴敦元
覆瓿集,,宋,,,赵必𤩪
蕉叶山房吟草,,,,,
蕉声馆诗钞,,清,,,朱为弼
蕉屏书屋诗文覆瓿集,,,,增,
癖斋小集,,宋,,,杜旃
蕈香诗钞,,,,,俞士槐
蟫精雋,,明,,,徐伯龄
魏季子文集,,,,,魏礼
擪鸟山房诗,,清,,,蔡源
彝寿轩诗钞,,清,,,张应昌
翼駉裨编,,清,,,汤用中
蕴愫阁文集,,清,,,盛大士
蕴愫阁诗集,,清,,增,盛大士
簪云楼杂说,,清,,,陈尚古
瞻云初集,,清,,,陈廷会
瞻云集,,清,,,王先舒
瓣香山房诗,,,,,曾廷枚
瀚海披沙,,,,减,
曝书亭集,,清,,,朱彝尊
勷善征信录,,清,,,金日修
薪卿诗草,,清,,,夏传曾
瀛舟笔谈,,清,,,阮亨
瀛奎律髓,,元,,,方回
籀书,,清,,,赵金籀
藏书纪事诗,,清,,,叶昌炽
警心录,,清,,,李毓之
薲香阁诗集,,,,,陈嵇
灊山集,,宋,,,朱翌
藤因室佚余诗存,,,,,劳源思
藤阿吟稿,,,,,陈鸿熙
藤香馆文集,,清,,,薛时雨
藤香馆词删存,,清,,增,薛时雨
藤香馆诗删存,,清,,增,薛时雨
藤香馆诗钞,,清,,,薛时雨
壦务山馆集,,明,,,虞淳熙
蘅香馆杂著,,清,,,赵庆熺
靃林山人诗集,,清,,,吴文溥
钁头吟,,清,释,,香海
